Seq_No,name,rating,reviews,domain,location,years_old,employee_strength,Domains,Market,Company_Type,
0,TCS,3.9,16.1k,Public,Mumbai + 156 more,52 years old,10000+ employees,Consulting, IT/ITES, MNC,
1,Accenture,4,14.1k,Private,Dublin + 87 more,31 years old,10000+ employees,Consulting, IT/ITES, MNC,
2,ICICI Bank,4.1,12.7k,Public,Mumbai + 724 more,26 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, MNC,
3,Cognizant,3.9,12.1k,Private,Teaneck + 44 more,26 years old,10000+ employees,IT/ITES, MNC,,
4,HDFC Bank,4,10.9k,Public,Mumbai + 692 more,26 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
5,Infosys,3.9,10.8k,Public,Bangalore + 64 more,39 years old,10000+ employees,IT/ITES, Fortune500, MNC,
6,L&T,4.1,10.2k,Public,Mumbai + 333 more,82 years old,10000+ employees,Construction, Fortune500, Conglomerate,
7,Capgemini,3.3,9.6k,Private,Paris + 42 more,53 years old,10000+ employees,Computer Software, Consulting, IT/ITES,
8,Tech Mahindra,3.5,9.1k,Public,Pune + 138 more,34 years old,10000+ employees,Consulting, IT/ITES, MNC,
9,HCL Technologies,3.7,8.7k,Public,Noida + 106 more,14 years old,10000+ employees,Consulting, IT/ITES, Fortune500,
10,Tata Motors,4.1,8.3k,Public,Pune + 336 more,75 years old,10000+ employees,Automobile, Manufacturing, Fortune500,
11,IBM,4,8.2k,Private,New York + 69 more,109 years old,10000+ employees,Consulting, IT/ITES, MNC,
12,Reliance jio,4,7.9k,Public,Navi Mumbai + 588 more,10 years old,10000+ employees,Telecom/ISP, MNC,,
13,Genpact,4,7.7k,Private,New York + 31 more,23 years old,10000+ employees,Consulting, IT/ITES, MNC,
14,Axis Bank,4,7.6k,Public,Mumbai + 645 more,27 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
15,Concentrix Daksh Service...,4,6.5k,,New Delhi + 36 more,21 years old,10000+ employees,BPO/KPO,,,
16,Wipro,3.8,6.5k,Public,Bangalore + 116 more,75 years old,10000+ employees,Consulting, IT/ITES, MNC,
17,Vodafone,4.3,6k,Public,Berkshire + 366 more,38 years old,10000+ employees,Telecom/ISP, MNC, Fortune500,
18,HDB Financial Services,4,5.5k,Private,Ahmedabad + 434 more,13 years old,10000+ employees,Financial Services,,,
19,Bharti Airtel,4.2,5.5k,Public,New Delhi + 339 more,25 years old,10000+ employees,Telecom/ISP, Fortune500,,
20,Kotak Mahindra Bank,3.8,5.2k,Public,Mumbai + 344 more,17 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Conglomerate,
21,Amazon,4.2,4.9k,Private,Washington + 157 more,26 years old,10000+ employees,Consumer goods, Internet, Retail,
22,Reliance,4.2,4.6k,Public,Mumbai + 206 more,54 years old,10000+ employees,Oil/Gas/Petro Chemicals, Power & Energy, Fortune500,
23,Bajaj Finserv,4.1,3.8k,Public,Pune + 453 more,13 years old,10000+ employees,Financial Services, Fortune500,,
24,IndusInd Bank,3.6,3.7k,Public,Mumbai + 354 more,26 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
25,Samsung,4.2,3.5k,Private,Seoul + 286 more,82 years old,10000+ employees,Consumer goods, Manufacturing, Electronics,
26,Hinduja Global Solutions,3.8,3.5k,Public,Bangalore + 48 more,20 years old,10000+ employees,BPO/KPO, MNC, Fortune500,
27,Indian Army,4.7,3.4k,Govt agency,New Delhi + 192 more,125 years old,10000+ employees,Defence, Federal Agencies, Government,
28,Mahindra & Mahindra,4.3,3.2k,Public,Mumbai + 275 more,75 years old,10000+ employees,Automobile, Machinery / Equipment, Manufacturing,
29,Ericsson,4.1,3.1k,Private,Stockholm + 110 more,144 years old,10000+ employees,Analytics, Research & Development, MNC,
30,Maruti Suzuki,4.2,3.1k,Public,New Delhi,India + 266 more,39 years old,10000+ employees,Automobile, Manufacturing,
31,IDEA Cellular,4.3,3k,Partnership,Mumbai + 284 more,25 years old,10000+ employees,Telecom/ISP,,,
32,Intelenet Global Service...,3.7,2.9k,Private,Mumbai + 54 more,20 years old,10000+ employees,BPO/KPO,,,
33,Teleperformance,3.8,2.9k,Private,Paris + 36 more,42 years old,10000+ employees,BPO/KPO, IT/ITES, MNC,
34,WNS,3.7,2.8k,Private,Mumbai + 15 more,24 years old,10000+ employees,BPO/KPO, MNC,,
35,Reliance Retail,4.2,2.8k,Private,Mumbai + 229 more,14 years old,10000+ employees,Retail, Textile/Apparel,,
36,ICICI Prudential Life In...,4.2,2.7k,Public,Mumbai + 317 more,19 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
37,Cipla Pharmaceutical,4,2.7k,Public,Mumbai + 140 more,85 years old,10000+ employees,Healthcare/Pharma, Manufacturing, Fortune500,
38,Aegis Global,3.6,2.7k,Private,Mumbai + 35 more,37 years old,10000+ employees,BPO/KPO, IT/ITES, MNC,
39,HSBC,4.1,2.7k,Private,London + 35 more,155 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, MNC,
40,Janalakshmi Financial Se...,3.8,2.6k,Public,Bangalore + 224 more,12 years old,10000+ employees,Banking/Insurance/Accounting,,,
41,Reliance Communications,3.9,2.6k,Public,Navi Mumbai + 301 more,18 years old,10000+ employees,Telecom/ISP, Fortune500,,
42,Dr. Reddy's,4.2,2.5k,Public,Hyderabad + 96 more,36 years old,10000+ employees,Healthcare/Pharma, Manufacturing, MNC,
43,Sutherland Global Servic...,3.9,2.5k,Private,Pittsford + 19 more,34 years old,10000+ employees,Recruitment, Facilities Management,,
44,DXC Technology,3.2,2.4k,Public,Tysons + 21 more,3 years old,10000+ employees,IT/ITES, MNC,,
45,Hewlett-Packard,4.3,2.4k,Private,California + 49 more,81 years old,10000+ employees,Computer Hardware, Computer Software, MNC,
46,Future Group,4.2,2.4k,Private,Mumbai + 165 more,33 years old,10000+ employees,Retail, Textile/Apparel, Conglomerate,
47,Home Credit Finance,4,2.3k,Private,Gurugram + 75 more,8 years old,10000+ employees,Banking/Insurance/Accounting,,,
48,Aditya Birla Fashion and...,4.2,2.3k,Private,Mumbai + 189 more,5 years old,10000+ employees,Retail, Textile/Apparel, Fashion/Accessories, Conglomerate
49,Mphasis,3.8,2.3k,Public,Bangalore + 29 more,20 years old,10000+ employees,Computer Software, IT/ITES, Fortune500,
50,Bajaj Allianz Life Insur...,4.1,2.3k,Private,Pune + 300 more,19 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
51,Yes Bank,3.8,2.3k,Public,Mumbai + 233 more,16 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
52,Flipkart,4.3,2.2k,Private,Bangalore + 177 more,13 years old,10000+ employees,Consumer goods, Internet, Startup,
53,Lupin,4.2,2.2k,Public,Mumbai + 99 more,52 years old,10000+ employees,Healthcare/Pharma, Manufacturing, Fortune500,
54,WIPRO CONSUMER CARE & LI...,3.8,2.1k,Private,Bengaluru + 53 more,75 years old,5001-10000 employees,Consumer goods, FMCG, MNC,
55,Ernst & Young,3.8,2.1k,Private,London + 41 more,31 years old,10000+ employees,Banking/Insurance/Accounting, Consulting, MNC,
56,OPPO,4,2.1k,Public,Shenzhen + 239 more,16 years old,10000+ employees,Manufacturing, Electronics, MNC,
57,HDFC LIFE,4,2.1k,Partnership,Mumbai + 289 more,20 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
58,Asian Paints,4.3,2.1k,Public,Mumbai + 184 more,78 years old,5001-10000 employees,Consumer goods, Manufacturing, MNC,
59,PayTM,4,2.1k,Private,Noida + 174 more,10 years old,10000+ employees,Internet, Startup,,
60,Deloitte,3.9,2k,Private,New York + 29 more,175 years old,10000+ employees,Consulting, MNC,,
61,Nokia,4.4,2k,Private,Espoo + 142 more,155 years old,10000+ employees,Manufacturing, Electronics, MNC,
62,Hindustan Unilever,4.4,2k,Public,London + 220 more,91 years old,10000+ employees,Consumer goods, Food & Beverages, Manufacturing,
63,Wipro Infotech,3.9,2k,Private,Bangalore + 106 more,75 years old,10000+ employees,IT/ITES, MNC,,
64,Wipro BPS,3.8,1.9k,,Bengaluru + 22 more,20 years old,10000+ employees,BPO/KPO, IT/ITES,,
65,Shriram Transport Financ...,4.1,1.9k,Public,Mumbai + 408 more,41 years old,10000+ employees,Financial Services, Fortune500, Conglomerate,
66,Ashok Leyland,4.3,1.9k,Public,Chennai + 129 more,72 years old,10000+ employees,Automobile, Manufacturing, MNC,
67,Axis Securities,4,1.9k,Private,Mumbai + 225 more,15 years old,10000+ employees,Financial Services,,,
68,Hyundai Motor,4.3,1.9k,Private,Seoul + 157 more,53 years old,10000+ employees,Automobile, Machinery / Equipment, Manufacturing,
69,Shapoorji Pallonji,4.3,1.9k,Private,Mumbai + 95 more,155 years old,10000+ employees,Construction, Conglomerate,,
70,Sun Pharmaceutical Indus...,4,1.9k,Public,Mumbai + 100 more,37 years old,10000+ employees,Healthcare/Pharma, Research & Development, MNC,
71,Zydus Cadila,4.1,1.9k,Public,Ahmedabad, India + 97 more,68 years old,10000+ employees,Biotech & Life sciences, Healthcare/Pharma,
72,Vivo Smartphone,4,1.9k,Private,Dongguan + 226 more,11 years old,10000+ employees,Manufacturing, Electronics, MNC,
73,ITC,4.1,1.9k,Public,Kolkata + 121 more,110 years old,10000+ employees,Consumer goods, FMCG, Manufacturing,
74,Apollo Hospitals,4.1,1.8k,Public,Chennai + 92 more,37 years old,10000+ employees,Healthcare/Pharma, MNC, Fortune500,
75,UltraTech Cement,4.4,1.8k,Public,Mumbai + 200 more,37 years old,10000+ employees,Construction, Manufacturing, Fortune500,
76,Muthoot Fincorp,3.9,1.8k,Private,Kochi + 307 more,133 years old,10000+ employees,Financial Services, Fortune500,,
77,Mahindra & Mahindra Fina...,4.3,1.8k,,Mumbai + 342 more,29 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
78,NTT DATA,3.6,1.8k,Private,Tokyo, JAPAN + 18 more,32 years old,10000+ employees,IT/ITES, MNC,
79,IIFL,3.8,1.8k,Public,Mumbai + 265 more,25 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
80,IDFC FIRST Bank,4,1.8k,Public,Mumbai + 144 more,26 years old,5001-10000 employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
81,Dominos Pizza,4.2,1.8k,Public,Ann Arbor + 151 more,60 years old,10000+ employees,Food & Beverages, Travel & Tourism / Hospitality, MNC,
82,Ujjivan Small Finance Ba...,4.1,1.7k,Public,Bengaluru + 227 more,3 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
83,Bosch,4.2,1.7k,Public,Sttugart + 55 more,134 years old,10000+ employees,Engineering, Fortune500,,
84,TVS Motor,4.2,1.7k,Public,Hosur + 151 more,41 years old,5001-10000 employees,Automobile, Manufacturing, Transportation,
85,UnitedHealth,4.1,1.7k,Private,Minnesota + 10 more,43 years old,10000+ employees,Healthcare/Pharma,,,
86,EXL Service,3.8,1.7k,Private,New York, USA + 15 more,21 years old,10000+ employees,Consulting, IT/ITES,
87,Wipro Enterprises Ltd,3.7,1.7k,,Bangalore + 41 more,75 years old,10000+ employees,IT/ITES,,,
88,JBM Group,4,1.6k,Public,Gurugram + 50 more,37 years old,10000+ employees,Machinery / Equipment, Manufacturing, Conglomerate,
89,eClerx,3.7,1.6k,Public,Mumbai + 11 more,20 years old,5001-10000 employees,Consulting, IT/ITES,,
90,Aurobindo Pharma,4.1,1.6k,Public,Hyderabad + 26 more,34 years old,10000+ employees,Healthcare/Pharma, Fortune500, MNC,
91,Hero MotoCorp,4.2,1.6k,Public,New Delhi + 170 more,36 years old,10000+ employees,Automobile, Manufacturing, Fortune500,
92,NIIT Technologies,3.8,1.6k,Public,Noida + 101 more,16 years old,5001-10000 employees,Computer Software, IT/ITES, Fortune500,
